Summary,Method
"<summary>
Represents the json array.
</summary>","public override string ToString()
        {
            return SimpleJson.SerializeObject(this) ?? string.Empty;
        }"
"<summary>
Represents the json object.
</summary>","internal static object GetAtIndex(IDictionary<string, object> obj, int index)
        {
            if (obj"
"<summary>
Adds the specified key.
</summary>","public void Add(string key, object value)
        {
            _members.Add(key, value);
        }"
"<summary>
Determines whether the specified key contains key.
</summary>","public bool ContainsKey(string key)
        {
            return _members.ContainsKey(key);
        }"
"<summary>
Gets the keys.
</summary>","public bool Remove(string key)
        {
            return _members.Remove(key);
        }"
"<summary>
Tries the get value.
</summary>","public bool TryGetValue(string key, out object value)
        {
            return _members.TryGetValue(key, out value);
        }"
"<summary>
Gets the values.
</summary>","public void Add(KeyValuePair<string, object> item)
        {
            _members.Add(item.Key, item.Value);
        }"
"<summary>
Clears this instance.
</summary>","public void Clear()
        {
            _members.Clear();
        }"
"<summary>
Determines whether [contains] [the specified item].
</summary>","public bool Contains(KeyValuePair<string, object> item)
        {
            return _members.ContainsKey(item.Key) && _members[item.Key]"
"<summary>
Copies to.
</summary>","public void CopyTo(KeyValuePair<string, object>[] array, int arrayIndex)
        {
            int num = Count;
            foreach (KeyValuePair<string, object> kvp in this)
            {
                array[arrayIndex++] = kvp;
                if (--num <= 0)
                    return;
            }
        }"
"<summary>
Gets the count.
</summary>","public bool Remove(KeyValuePair<string, object> item)
        {
            return _members.Remove(item.Key);
        }"
"<summary>
Gets the enumerator.
</summary>","public IEnumerator<KeyValuePair<string, object>> GetEnumerator()
        {
            return _members.GetEnumerator();
        }"
"<summary>
Returns an enumerator that iterates through a collection.
</summary>","public override string ToString()
        {
            return SimpleJson.SerializeObject(this);
        }"
"<summary>
Provides implementation for type conversion operations. Classes derived from the <see cref=""T:System.Dynamic.DynamicObject""/> class can override this method to specify dynamic behavior for operations that convert an object from one type to another.
</summary>","public override bool TryConvert(ConvertBinder binder, out object result)
        {
            if (binder"
"<summary>
Provides the implementation for operations that delete an object member. This method is not intended for use in C# or Visual Basic.
</summary>","public override bool TryDeleteMember(DeleteMemberBinder binder)
        {
            if (binder"
"<summary>
Provides the implementation for operations that get a value by index. Classes derived from the <see cref=""T:System.Dynamic.DynamicObject""/> class can override this method to specify dynamic behavior for indexing operations.
</summary>","public override bool TryGetIndex(GetIndexBinder binder, object[] indexes, out object result)
        {
            if (indexes.Length"
"<summary>
Provides the implementation for operations that get member values. Classes derived from the <see cref=""T:System.Dynamic.DynamicObject""/> class can override this method to specify dynamic behavior for operations such as getting a value for a property.
</summary>","public override bool TryGetMember(GetMemberBinder binder, out object result)
        {
            object value;
            if (_members.TryGetValue(binder.Name, out value))
            {
                result = value;
                return true;
            }
            result = (object)null;
            return true;
        }"
"<summary>
Provides the implementation for operations that set a value by index. Classes derived from the <see cref=""T:System.Dynamic.DynamicObject""/> class can override this method to specify dynamic behavior for operations that access objects by a specified index.
</summary>","public override bool TrySetIndex(SetIndexBinder binder, object[] indexes, object value)
        {
            if (indexes.Length"
"<summary>
Provides the implementation for operations that set member values. Classes derived from the <see cref=""T:System.Dynamic.DynamicObject""/> class can override this method to specify dynamic behavior for operations such as setting a value for a property.
</summary>","public override bool TrySetMember(SetMemberBinder binder, object value)
        {
            if (binder"
"<summary>
Returns the enumeration of all dynamic member names.
</summary>","public override IEnumerable<string> GetDynamicMemberNames()
        {
            foreach (var key in Keys)
                yield return key;
        }"
"<summary>
This class encodes and decodes JSON strings.
Spec. details, see http://www.json.org/

JSON uses Arrays and Objects. These correspond here to the datatypes JsonArray(IList&lt;object>) and JsonObject(IDictionary&lt;string,object>).
All numbers are parsed to doubles.
</summary>","public static object DeserializeObject(string json)
        {
            object @object;
            if (TryDeserializeObject(json, out @object))
                return @object;
            throw new System.Runtime.Serialization.SerializationException(""Invalid JSON string"");
        }"
"<summary>
Try parsing the json string into a value.
</summary>","public static bool TryDeserializeObject(string json, out object @object)
        {
            bool success = true;
            if (json != null)
            {
                char[] charArray = json.ToCharArray();
                int index = 0;
                @object = ParseValue(charArray, ref index, ref success);
            }
            else
                @object = null;
            return success;
        }"
"<summary>
Converts a IDictionary&lt;string,object> / IList&lt;object> object into a JSON string
</summary>","public static string SerializeObject(object json, IJsonSerializerStrategy jsonSerializerStrategy)
        {
            StringBuilder builder = new StringBuilder(BUILDER_CAPACITY);
            bool success = SerializeValue(jsonSerializerStrategy, json, builder);
            return (success ? builder.ToString() : null);
        }"
"<summary>
Determines if a given object is numeric in any way
(can be integer, double, null, etc).
</summary>","protected static bool IsNumeric(object value)
        {
            if (value is sbyte) return true;
            if (value is byte) return true;
            if (value is short) return true;
            if (value is ushort) return true;
            if (value is int) return true;
            if (value is uint) return true;
            if (value is long) return true;
            if (value is ulong) return true;
            if (value is float) return true;
            if (value is double) return true;
            if (value is decimal) return true;
            return false;
        }"
"<summary>
DnsQuery Class
Handles the dns message transport and interpretation of result.
Use Send() to activate Result object.
</summary>","public bool Send()
        {
            CheckForServers();
            foreach (IPEndPoint Server in Servers)
            {
                int port = Server.Port;
                try
                {
                    SendQuery2(Server.Address, port);
                    break;
                }
                catch
                {
                    continue;
                }
            }
            return (this.Response != null);
        }"
"<summary>
Uses UDPClient to send byte array to
DNS Server Specified
</summary>","private void SendQuery(string ipAddress)
        {
            if (ipAddress"
"<summary>
Packs question into byte array format
accepted by DNS servers
</summary>","private byte[] MakeQuery()
        {
            int QueryID = new Random().Next(55555);
            byte[] Question = new byte[512];
            for (int i = 0; i < 512; i++)
                Question[i] = 0;
            Question[0] = (byte)(QueryID >> 8);
            Question[1] = (byte)(QueryID & byte.MaxValue);
            Question[2] = (byte)1; 
            Question[2] = (byte)((this.RecursionDesired) ? (Question[2] | 1) : (Question[2] & 254));
            Question[3] = (byte)0;
            Question[4] = (byte)0;
            Question[5] = (byte)1;
            string[] tokens = this.Domain.Split(new char[] { '.' });
            string label;
            int Cursor = 12;
            for (int j = 0; j < tokens.Length; j++)
            {
                label = tokens[j];
                Question[Cursor++] = (byte)(label.Length & byte.MaxValue);
                byte[] b = Encoding.ASCII.GetBytes(label);
                for (int k = 0; k < b.Length; k++)
                {
                    Question[Cursor++] = b[k];
                }
            }
            Question[Cursor++] = (byte)0;
            Question[Cursor++] = (byte)0;
            Question[Cursor++] = (byte)QueryType;
            Question[Cursor++] = (byte)0;
            Question[Cursor++] = (byte)QueryClass;
            return Question;
        }"
"<summary>
Gets name string segments from byte array.
Uses the DNS ""compression"" support
that gives a pointer to a previous
occurrence of repeat names.
-- not so pretty, consider killing
</summary>","private int ExtractName(int ResourceDataCursor, StringBuilder Name)
        {
            int LengthLabel = (data[ResourceDataCursor++] & byte.MaxValue);
            if (LengthLabel"
"<summary>
Checks for any DNS servers
on the public collection. If user
did not add any manually gets
the default ones from the TCP/IP
Configuration.
</summary>","private bool CheckForServers()
        {
            if (Servers.Count"
"<summary>
TODO:
Gets DNS Servers from TCP/IP Configuration of
network adapter.
</summary>","private ArrayList GetDefaultServers()
        {
            ArrayList LocalServers = new ArrayList();
            try
            {
            }
            catch (Exception Ex)
            {
                Trace.WriteLine(""Could not get DNS servers from network adapter: "" + Ex.Message, ""OpenDNS"");
            }
            finally
            {
            }
            return LocalServers;
        }"
"<summary>
Base Resource Record class for objects returned in
answers, authorities and additional record DNS responses.
</summary>","public override string ToString()
		{
			StringBuilder sb = new StringBuilder();
			sb.Append(""Name="" + Name + ""&Type="" + Type + ""&Class="" + Class + ""&TTL=""+TimeToLive);
			return sb.ToString();
		}"
